method,expansion_factor,recall@10,recall@100,QPS,latency_ms
PostFilter-HNSW,2,0.0586,0.2128,3516.7,0.28
PostFilter-HNSW,5,0.1332,0.5521,3537.6,0.28
PostFilter-HNSW,10,0.2179,1.0,2556.7,0.39
PostFilter-HNSW,20,0.397,1.0,1848.2,0.54
PostFilter-HNSW,50,0.8144,1.0,1281.8,0.78
PreFilter-BruteForce,N/A,1.0,1.0,9685.3,0.1
ACORN-1,50,0.7401,0.7262,270.9,3.69
ACORN-1,100,0.8253,0.8102,228.8,4.37
ACORN-1,200,0.8828,0.8679,216.2,4.63
ACORN-1,500,0.9662,0.9503,151.1,6.62
ACORN-1,1000,0.9929,0.9797,119.6,8.36
TANNS+PostFilter,50,0.9711,0.865,681.3,1.47
TANNS+PostFilter,100,1.0,1.0,613.8,1.63
TANNS+PostFilter,200,1.0,1.0,596.3,1.68
TANNS+PostFilter,500,1.0,1.0,590.9,1.69
TANNS+PostFilter,1000,1.0,1.0,614.3,1.63
TANNS+PreFilter,N/A,1.0,1.0,2579.1,0.39
FDiskANN+PostFilter,50,0.9202,0.564,2542.4,0.39
FDiskANN+PostFilter,100,0.9864,0.8161,1978.1,0.51
FDiskANN+PostFilter,200,0.9961,0.9616,1518.3,0.66
FDiskANN+PostFilter,500,1.0,1.0,1462.3,0.68
FDiskANN+PostFilter,1000,1.0,1.0,1475.7,0.68
FDiskANN+PreFilter,N/A,1.0,1.0,2003.2,0.5
TANNS-C,50,0.9879,0.9481,346.7,2.88
TANNS-C,100,0.9944,0.9828,297.2,3.36
TANNS-C,200,0.9949,0.9864,264.9,3.78
TANNS-C,500,0.9949,0.9864,271.8,3.68
TANNS-C,1000,0.9949,0.9864,268.5,3.72
TANNS-C (P1 only),200,0.9989,0.9929,137.5,7.27
TANNS-C (P2 only),200,0.9926,0.9833,249.6,4.01
TANNS-C (P1+P2),200,0.9926,0.9833,256.0,3.91
